Time,
2015-11-15 00:00:00 UTC,4948883537.3483
2015-11-16 00:00:00 UTC,4742829443.62733
2015-11-17 00:00:00 UTC,4921818100.941
2015-11-18 00:00:00 UTC,4981248530.87883
2015-11-19 00:00:00 UTC,4983726365.04295
2015-11-20 00:00:00 UTC,4807885494.26354
2015-11-21 00:00:00 UTC,4769306592.06068
2015-11-22 00:00:00 UTC,4856020462.42688
2015-11-23 00:00:00 UTC,4814038173.11419
2015-11-24 00:00:00 UTC,4793346894.1184
2015-11-25 00:00:00 UTC,4760958831.62814
2015-11-26 00:00:00 UTC,4920322224.87815
2015-11-27 00:00:00 UTC,5238600273.30172
2015-11-28 00:00:00 UTC,5261477451.16926
2015-11-29 00:00:00 UTC,5330272038.05879
2015-11-30 00:00:00 UTC,5584165538.71021
2015-12-01 00:00:00 UTC,5630695007.54988
2015-12-02 00:00:00 UTC,5313384792.43983
2015-12-03 00:00:00 UTC,5349574825.8005
2015-12-04 00:00:00 UTC,5396472360.88231
2015-12-05 00:00:00 UTC,5423155692.72045
2015-12-06 00:00:00 UTC,5854824683.61037
2015-12-07 00:00:00 UTC,5778793619.00966
2015-12-08 00:00:00 UTC,5899212664.44413
2015-12-09 00:00:00 UTC,6188324143.81313
2015-12-10 00:00:00 UTC,6241076540.30555
2015-12-11 00:00:00 UTC,6223571707.19541
2015-12-12 00:00:00 UTC,6747921973.65615
2015-12-13 00:00:00 UTC,6480420664.75261
2015-12-14 00:00:00 UTC,6459474949.12261
2015-12-15 00:00:00 UTC,6696224357.12965
2015-12-16 00:00:00 UTC,6925709565.97204
2015-12-17 00:00:00 UTC,6795751133.58704
2015-12-18 00:00:00 UTC,6815955336.33099
2015-12-19 00:00:00 UTC,6944868990.39266
2015-12-20 00:00:00 UTC,6920410205.86679
2015-12-21 00:00:00 UTC,6500275553.71914
2015-12-22 00:00:00 UTC,6570381839.48593
2015-12-23 00:00:00 UTC,6555040653.29873
2015-12-24 00:00:00 UTC,6653074826.60528
2015-12-25 00:00:00 UTC,6850593616.07877
2015-12-26 00:00:00 UTC,6848039803.59742
2015-12-27 00:00:00 UTC,6199448270.64189
2015-12-28 00:00:00 UTC,6383540507.22245
2015-12-29 00:00:00 UTC,6343638242.87662
2015-12-30 00:00:00 UTC,6506889458.27909
2015-12-31 00:00:00 UTC,6380472270.93505
2016-01-01 00:00:00 UTC,6475525900.28961
2016-01-02 00:00:00 UTC,6533723229.24838
2016-01-03 00:00:00 UTC,6514610734.22224
2016-01-04 00:00:00 UTC,6459519137.62879
2016-01-05 00:00:00 UTC,6528328075.74202
2016-01-06 00:00:00 UTC,6477460551.46062
2016-01-07 00:00:00 UTC,6479467562.60955
2016-01-08 00:00:00 UTC,6931186782.57778
2016-01-09 00:00:00 UTC,6827563767.94239
2016-01-10 00:00:00 UTC,6721618882.71486
2016-01-11 00:00:00 UTC,6778674995.48722
2016-01-12 00:00:00 UTC,6729292642.13862
2016-01-13 00:00:00 UTC,6492924751.37646
2016-01-14 00:00:00 UTC,6502487926.18144
2016-01-15 00:00:00 UTC,6467629574.13802
