Time,Price,Volume,Hash_rates,Market_cap,Mining_difficulty,No_of_transactions,Volatility
2010-07-22 00:00:00 UTC,0.064120380952381,131.52132142857099,1600886100.96902,280079.37205,181.54328936,397.0,0.0020552008236972698
2010-07-23 00:00:00 UTC,0.0617804,148.01911399666702,1735937973.99798,203592.2177,181.54328936,411.0,0.0028352222052276397
2010-07-24 00:00:00 UTC,0.0558145833333333,26.740300199999997,1706393445.32536,215564.1485,181.54328936,894.0,0.000642682938276705
2010-07-25 00:00:00 UTC,0.0549116369047619,84.87729639285709,2091452570.0277102,194593.457500001,181.54328936,1823.0,0.00127715650522503
2010-08-03 00:00:00 UTC,0.0613314891518738,608.8407186397429,2755184476.12608,216090.0,244.21322309,648.0,0.0007148258528556849
2010-08-04 00:00:00 UTC,0.0607407407407407,209.805055166667,2948393084.32473,225087.40875000102,244.21322309,439.0,0.00135641337651411
2010-08-11 00:00:00 UTC,0.0690642789983165,1017.57094899137,4056322603.08908,228169.299999999,352.16120907,412.0,0.00111845496905138
2010-08-17 00:00:00 UTC,0.066713782051282,918.8186133830769,3334531204.53053,245137.025,511.77353426,318.0,0.00171447649729143
2010-08-21 00:00:00 UTC,0.0655164166666667,688.417961516667,4379091074.21659,245254.75,511.77353426,342.0,0.000586973072602146
2010-08-22 00:00:00 UTC,0.0635046637426901,1183.73925915444,5378486889.64865,243118.94925,511.77353426,366.0,0.0008394505720113759
2010-08-23 00:00:00 UTC,0.0649468315789474,282.982576347368,5440656063.41295,247519.35000000102,511.77353426,369.0,0.000854285631482982
2010-08-27 00:00:00 UTC,0.0643843939393939,583.666707,5297785833.5643,245443.2,623.38695987,294.0,0.000433055999915594
2010-08-31 00:00:00 UTC,0.0629884175084175,926.100819746364,5682787087.3861,247975.87725,623.38695987,441.0,0.000975688214026705
2010-09-05 00:00:00 UTC,0.0620192142857143,527.767656751667,5147877342.36915,244154.52,623.38695987,311.0,0.000694458620660415
2010-09-10 00:00:00 UTC,0.0608153571428572,301.688532285714,6262470136.73584,240892.05,712.88486455,360.0,0.000378031824305781
2010-09-12 00:00:00 UTC,0.0617427777777778,49.0193094816666,6277413249.92872,244649.76116666602,712.88486455,379.0,0.000281951532477089
2010-09-13 00:00:00 UTC,0.061796852124183003,631.254209553931,6054380739.82415,246405.32699999897,712.88486455,436.0,0.000418242169079908
2010-09-19 00:00:00 UTC,0.0619072222222222,797.22929005,9244249569.20852,245826.66899999898,917.8307412999999,355.0,0.000390998431593691
2010-09-21 00:00:00 UTC,0.062842,359.85150102,7836630632.439191,255896.643562499,917.8307412999999,810.0,0.00028284271247991204
2010-09-23 00:00:00 UTC,0.0622643619047619,969.353968440714,10651244815.6249,253021.792499999,917.8307412999999,655.0,0.00027041949879833503
2010-09-29 00:00:00 UTC,0.0618402063492064,1450.61096772845,10757907543.385,256582.35,1318.67005015,975.0,0.00011090991796951101
2010-10-02 00:00:00 UTC,0.0614555567765568,802.972616774286,6594681935.22384,257443.147125001,1318.67005015,501.0,0.000189952879974142
2010-10-05 00:00:00 UTC,0.0615253546146664,1702.88080023349,8362856105.45545,256449.517999999,1318.67005015,371.0,0.00042137871728742903
2010-10-07 00:00:00 UTC,0.0639168426767677,2805.61194710352,10537258521.5636,264684.42,1318.67005015,340.0,0.000340048973453683
2010-10-09 00:00:00 UTC,0.0848919999846367,16422.4049179423,10157043754.4915,351239.457305556,1318.67005015,401.0,0.00345333401238634
2010-10-10 00:00:00 UTC,0.0965601812479635,5076.6941881495095,11596751065.78,392383.275,1318.67005015,363.0,0.00527187815918784
2010-10-11 00:00:00 UTC,0.0952570833333333,1389.15809541667,10447468108.3336,384711.599999999,1318.67005015,342.0,0.0011505204946907698
2010-10-13 00:00:00 UTC,0.095754416891588,4553.17364470789,11956053012.5591,390422.700000001,1378.02816504,364.0,0.000771457239154118
2010-10-14 00:00:00 UTC,0.0999358484848485,3582.8613832454603,14064428407.6577,434894.812500001,1378.02816504,367.0,0.00599346046086767
2010-10-20 00:00:00 UTC,0.0976513571428571,3185.7087542857003,17964596135.5166,426059.287500001,1378.02816504,713.0,0.0022628616202172397
2010-10-24 00:00:00 UTC,0.12284520710059199,1574.54684169871,21808208277.5857,471198.600000001,2149.02181495,552.0,0.022385780976744
2010-10-27 00:00:00 UTC,0.174800798611111,11721.7704183339,23054381093.1208,663735.5999999989,2149.02181495,568.0,0.004854243453029271
2010-11-01 00:00:00 UTC,0.19086513194444396,4054.9157607422203,27289864422.9401,857159.169999998,3091.73689041,351.0,0.00258752780860253
2010-11-04 00:00:00 UTC,0.20900427232142899,6201.56397736631,31068102377.6241,890201.737500001,3091.73689041,342.0,0.00566813372273316
2010-11-05 00:00:00 UTC,0.23541383040935698,8724.92049345001,33196893120.402,969470.362500002,3091.73689041,442.0,0.00604423223607239
2010-11-06 00:00:00 UTC,0.273455544507576,9761.733736549091,33412614850.3912,1157530.36666667,3091.73689041,394.0,0.00965322006452188
2010-11-07 00:00:00 UTC,0.360887238542262,28141.187324010898,37347318510.7317,1692730.08263462,3091.73689041,451.0,0.0135824994982761
2010-11-10 00:00:00 UTC,0.19978963612111497,6066.96866050838,45395212156.6084,954675.0116666659,4536.35372328,397.0,0.008596784425296591
2010-11-13 00:00:00 UTC,0.278784245478036,6311.876913524699,49740337346.9986,1287898.84333333,4536.35372328,343.0,0.00546696512546361
2010-11-18 00:00:00 UTC,0.25272518825910895,10078.7309509551,63036839080.1617,1028856.04,6866.89864897,1494.0,0.00441138257349416
2010-11-23 00:00:00 UTC,0.28192413194444393,1359.70086144,47946801643.3244,1317158.55,6866.89864897,341.0,0.00176979411528782
2010-11-24 00:00:00 UTC,0.28092071428571397,710.0878421,59954285659.3156,1323838.165,6866.89864897,3936.0,0.0024826061575141897
2010-11-28 00:00:00 UTC,0.278603356374808,5741.009891322879,58956046685.7759,1334394.525,6866.89864897,454.0,0.00148281866691776
2010-11-29 00:00:00 UTC,0.25702199625437194,8802.48041725743,71055434819.0778,1318191.30000001,6866.89864897,454.0,0.00946232442547419
2010-11-30 00:00:00 UTC,0.21560858974358998,4629.329633891671,72961794913.8225,1020031.989375,8078.19525793,454.0,0.0047895427965548
2010-12-01 00:00:00 UTC,0.21845364583333302,1751.6363668334698,74744976627.8227,994019.887499996,8078.19525793,512.0,0.00338462545922814
2010-12-03 00:00:00 UTC,0.24753805128205103,636.85525135,76246938593.1155,1190887.5,8078.19525793,384.0,0.0016820974621536801
2010-12-04 00:00:00 UTC,0.24058256054131102,6620.01566269536,91604183288.9168,1217370.0,8078.19525793,418.0,0.0025286213996516898
